subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0410389	en	fr	rdfs:label	Decreased central memory CD8+ T cell proportion	AUTOMATIC	Decreased central memory CD8+ T cell proportion
HP:0410390	en	fr	rdfs:label	Decreased effector memory CD8+ T cell proportion	AUTOMATIC	Decreased effector memory CD8+ T cell proportion
HP:0410391	en	fr	rdfs:label	Increased CD4+ memory T cell proportion	AUTOMATIC	Increased CD4+ memory T cell proportion
HP:0410392	en	fr	rdfs:label	Increased CD8+ memory T cell proportion	AUTOMATIC	Increased CD8+ memory T cell proportion
HP:0410393	en	fr	rdfs:label	Increased proportion of central memory CD4-positive T cells	AUTOMATIC	Increased proportion of central memory CD4-positive T cells
HP:0410394	en	fr	rdfs:label	Increased proportion of effector memory CD4-positive T cells	AUTOMATIC	Increased proportion of effector memory CD4-positive T cells
HP:0410395	en	fr	rdfs:label	Increased effector memory CD8+ T cell proportion	AUTOMATIC	Increased effector memory CD8+ T cell proportion
HP:0410396	en	fr	rdfs:label	Increased central memory CD8+ T cell proportion	AUTOMATIC	Increased central memory CD8+ T cell proportion
HP:0410397	en	fr	rdfs:label	Bronchiolectasis	AUTOMATIC	Bronchiolectasis
HP:0410399	en	fr	rdfs:label	Positive blood lead test	AUTOMATIC	Positive blood lead test
HP:0410400	en	fr	rdfs:label	Absent sebaceous glands	AUTOMATIC	Absent sebaceous glands
HP:0430030	en	fr	rdfs:label	Positive infectious agent test	AUTOMATIC	Positive infectious agent test
HP:0430031	en	fr	rdfs:label	Aqueous humor viral DNA positivity	AUTOMATIC	Aqueous humor viral DNA positivity
HP:0430033	en	fr	rdfs:label	Gottron sign	AUTOMATIC	Gottron sign
HP:0430034	en	fr	rdfs:label	Hypertension resistant to conventional therapy	AUTOMATIC	Hypertension resistant to conventional therapy
HP:0430035	en	fr	rdfs:label	Tibiofibular interosseous membrane calcification	AUTOMATIC	Tibiofibular interosseous membrane calcification
HP:0430036	en	fr	rdfs:label	Supracondylar elbow fracture	AUTOMATIC	Supracondylar elbow fracture
HP:0430037	en	fr	rdfs:label	Abnormal alcohol consumption	AUTOMATIC	Abnormal alcohol consumption
HP:0430043	en	fr	rdfs:label	Thoracic lordosis	AUTOMATIC	Thoracic lordosis
HP:0430046	en	fr	rdfs:label	Small joint hypermobilty	AUTOMATIC	Small joint hypermobilty
HP:0430047	en	fr	rdfs:label	Large joint hypermobilty	AUTOMATIC	Large joint hypermobilty
HP:0430048	en	fr	rdfs:label	Intracranial calcification	AUTOMATIC	Intracranial calcification
HP:0430050	en	fr	rdfs:label	Anti-thyroid antibody positivity	AUTOMATIC	Anti-thyroid antibody positivity
HP:0430051	en	fr	rdfs:label	Bloodstream pathogen-specific antibody positivity	AUTOMATIC	Bloodstream pathogen-specific antibody positivity
HP:0430052	en	fr	rdfs:label	Anti-SARS-CoV-2 coronavirus antibody positivity	AUTOMATIC	Anti-SARS-CoV-2 coronavirus antibody positivity
HP:0430053	en	fr	rdfs:label	Anti-West Nile virus antibody positivity	AUTOMATIC	Anti-West Nile virus antibody positivity
HP:0430054	en	fr	rdfs:label	Anti-microfilaria antibody positivity	AUTOMATIC	Anti-microfilaria antibody positivity
HP:0430055	en	fr	rdfs:label	Anti-trypanosoma cruzi antibody positivity	AUTOMATIC	Anti-trypanosoma cruzi antibody positivity
HP:0430056	en	fr	rdfs:label	Anti-chikungunya virus antibody positivity	AUTOMATIC	Anti-chikungunya virus antibody positivity
HP:0430057	en	fr	rdfs:label	Anti-chlamydia psittaci antibody positivity	AUTOMATIC	Anti-chlamydia psittaci antibody positivity
